,PositionTitle,MinimumRange,MaximumRange,PositionURI
55,Supervisory Federal Air Marshal (Promotional),142488.0,185234.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829102400
56,Transportation Security Officer,43457.0,60643.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809450900
57,Transporation Security Officer,56193.0,69539.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809467400
58,Transportation Security Officer,54105.0,66707.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809530600
59,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809771900
60,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809772100
61,Transportation Security Officer,45649.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809774300
62,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809777400
63,Transportation Security Officer,45649.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809779200
64,Transportation Security Officer,45649.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/809779500
65,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810097600
66,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810098300
67,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810099000
68,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810099700
69,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810223500
70,Transportation Security Officer,61568.0,75911.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810225000
71,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810337100
72,Transportation Security Officer,42104.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810394200
73,Transportation Security Officer,45649.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810394600
74,Transportation Security Officer,40332.0,56282.0,https://www.usajobs.gov:443/GetJob/ViewDetails/810396200
75,Cybersecurity Engineering - Technical,105600.0,212500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828339000
76,Cybersecurity Architecture - Technical,105600.0,212500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828332400
77,Cybersecurity Engineering-Leadership,122400.0,201500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829061400
78,Cybersecurity Architecture- Leadership,122400.0,201500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828665200
79,Cybersecurity Defensive Operations - Technical,105600.0,212500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828130900
80,Cybersecurity Defensive Operations - Developmental,82000.0,107000.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827826500
81,Cybersecurity Defensive Operations - Leadership,122400.0,201500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828130500
82,Cybersecurity Risk Management and Compliance - Technical,105600.0,212500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828132500
